ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,76,Thinker
P048,Participant_48,user48@university.edu,Valorant,6,Defender,65,Balanced
P049,Participant_49,user49@university.edu,Basketball,3,Supporter,88,Thinker
P050,Participant_50,user50@university.edu,Basketball,5,Coordinator,71,Thinker
P051,Participant_51,user51@university.edu,FIFA,2,Strategist,58,Balanced
P052,Participant_52,user52@university.edu,FIFA,2,Attacker,95,Leader
P053,Participant_53,user53@university.edu,DOTA 2,7,Defender,69,Balanced
P054,Participant_54,user54@university.edu,Valorant,8,Supporter,67,Balanced
P055,Participant_55,user55@university.edu,Chess,8,Coordinator,93,Leader
P056,Participant_56,user56@university.edu,Basketball,4,Strategist,84,Thinker
P057,Participant_57,user57@university.edu,CS:GO,7,Attacker,55,Balanced
P058,Participant_58,user58@university.edu,Valorant,3,Defender,92,Leader
P059,Participant_59,user59@university.edu,DOTA 2,4,Supporter,74,Thinker
P060,Participant_60,user60@university.edu,CS:GO,4,Coordinator,57,Balanced
P061,Participant_61,user61@university.edu,CS:GO,7,Strategist,94,Leader
P062,Participant_62,user62@university.edu,Basketball,6,Attacker,82,Thinker
P063,Participant_63,user63@university.edu,Chess,8,Defender,60,Balanced
P064,Participant_64,user64@university.edu,CS:GO,6,Supporter,90,Thinker
P065,Participant_65,user65@university.edu,DOTA 2,7,Coordinator,68,Balanced
P066,Participant_66,user66@university.edu,Chess,1,Strategist,63,Balanced
P067,Participant_67,user67@university.edu,Basketball,1,Attacker,92,Leader
P068,Participant_68,user68@university.edu,Chess,1,Defender,80,Thinker
P069,Participant_69,user69@university.edu,CS:GO,5,Supporter,66,Balanced
P070,Participant_70,user70@university.edu,Basketball,1,Coordinator,93,Leader
P071,Participant_71,user71@university.edu,Chess,8,Strategist,69,Balanced
P072,Participant_72,user72@university.edu,DOTA 2,5,Attacker,61,Balanced
P073,Participant_73,user73@university.edu,DOTA 2,8,Defender,92,Leader
P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Thinker
P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,55,Balanced
P076,Participant_76,user76@university.edu,FIFA,7,Strategist,91,Leader
P077,Participant_77,user77@university.edu,FIFA,2,Attacker,79,Thinker
P078,Participant_78,user78@university.edu,FIFA,6,Defender,53,Balanced
P079,Participant_79,user79@university.edu,Chess,5,Supporter,95,Leader
P080,Participant_80,user80@university.edu,Basketball,1,Coordinator,83,Thinker
P081,Participant_81,user81@university.edu,FIFA,10,Strategist,58,Balanced
P082,Participant_82,user82@university.edu,Valorant,10,Attacker,94,Leader
P083,Participant_83,user83@university.edu,DOTA 2,10,Defender,74,Thinker
P084,Participant_84,user84@university.edu,FIFA,5,Supporter,64,Balanced
P085,Participant_85,user85@university.edu,Basketball,10,Coordinator,92,Leader
P086,Participant_86,user86@university.edu,FIFA,9,Strategist,79,Thinker
P087,Participant_87,user87@university.edu,Basketball,4,Attacker,52,Balanced
P088,Participant_88,user88@university.edu,FIFA,4,Defender,90,Thinker
P089,Participant_89,user89@university.edu,Chess,6,Supporter,75,Thinker
P090,Participant_90,user90@university.edu,Chess,5,Coordinator,61,Balanced
P091,Participant_91,user91@university.edu,FIFA,10,Strategist,94,Leader
P092,Participant_92,user92@university.edu,Basketball,7,Attacker,70,Thinker
P093,Participant_93,user93@university.edu,CS:GO,4,Defender,59,Balanced
P094,Participant_94,user94@university.edu,CS:GO,2,Supporter,93,Leader
P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,85,Thinker
P096,Participant_96,user96@university.edu,DOTA 2,8,Strategist,56,Balanced
P097,Participant_97,user97@university.edu,FIFA,3,Attacker,92,Leader
P098,Participant_98,user98@university.edu,CS:GO,5,Defender,81,Thinker
P099,Participant_99,user99@university.edu,Valorant,3,Supporter,63,Balanced
P100,Participant_100,user100@university.edu,CS:GO,7,Coordinator,95,Leader
P101,Participant_101,user101@university.edu,Valorant,4,Strategist,62,Balanced
P102,Participant_102,user102@university.edu,Basketball,7,Attacker,71,Thinker
P103,Participant_103,user103@university.edu,CSGO,2,Supporter,88,Thinker
P104,Participant_104,user104@university.edu,Chess,9,Coordinator,54,Balanced
P105,Participant_105,user105@university.edu,DOTA2,6,Defender,93,Leader
P106,Participant_106,user106@university.edu,FIFA,5,Attacker,67,Balanced
P107,Participant_107,user107@university.edu,Valorant,8,Supporter,81,Thinker
P108,Participant_108,user108@university.edu,CSGO,3,Strategist,59,Balanced
P109,Participant_109,user109@university.edu,Chess,4,Attacker,97,Leader
P110,Participant_110,user110@university.edu,Basketball,6,Coordinator,64,Balanced
P111,Participant_111,user111@university.edu,FIFA,7,Supporter,79,Thinker
P112,Participant_112,user112@university.edu,DOTA2,3,Defender,51,Balanced
P113,Participant_113,user113@university.edu,Valorant,5,Coordinator,83,Thinker
P114,Participant_114,user114@university.edu,CSGO,9,Attacker,94,Leader
P115,Participant_115,user115@university.edu,Chess,1,Supporter,43,Balanced
P116,Participant_116,user116@university.edu,Basketball,10,Strategist,77,Thinker
P117,Participant_117,user117@university.edu,FIFA,3,Defender,65,Balanced
P118,Participant_118,user118@university.edu,DOTA2,8,Attacker,89,Thinker
P119,Participant_119,user119@university.edu,Valorant,6,Supporter,91,Leader
P120,Participant_120,user120@university.edu,CSGO,4,Coordinator,52,Balanced
P121,Participant_121,user121@university.edu,Chess,7,Defender,75,Thinker
P122,Participant_122,user122@university.edu,Basketball,5,Strategist,61,Balanced
P123,Participant_123,user123@university.edu,FIFA,2,Supporter,58,Balanced
P124,Participant_124,user124@university.edu,DOTA2,4,Attacker,96,Leader
P125,Participant_125,user125@university.edu,Valorant,8,Strategist,80,Thinker
P126,Participant_126,user126@university.edu,CSGO,1,Defender,45,Balanced
P127,Participant_127,user127@university.edu,Chess,3,Coordinator,56,Balanced
P128,Participant_128,user128@university.edu,Basketball,9,Supporter,82,Thinker
P129,Participant_129,user129@university.edu,FIFA,5,Attacker,92,Leader
P130,Participant_130,user130@university.edu,DOTA2,6,Strategist,74,Thinker
P131,Participant_131,user131@university.edu,Valorant,3,Supporter,48,Balanced
P132,Participant_132,user132@university.edu,CSGO,7,Coordinator,66,Balanced
P133,Participant_133,user133@university.edu,Chess,8,Defender,78,Thinker
P134,Participant_134,user134@university.edu,Basketball,5,Attacker,69,Balanced
P135,Participant_135,user135@university.edu,FIFA,7,Supporter,99,Leader
P136,Participant_136,user136@university.edu,DOTA2,2,Coordinator,40,Balanced
P137,Participant_137,user137@university.edu,Valorant,6,Attacker,73,Thinker
P138,Participant_138,user138@university.edu,CSGO,7,Supporter,86,Thinker
P139,Participant_139,user139@university.edu,Chess,5,Strategist,57,Balanced
P140,Participant_140,user140@university.edu,Basketball,8,Coordinator,95,Leader
P141,Participant_141,user141@university.edu,FIFA,9,Defender,63,Balanced
P142,Participant_142,user142@university.edu,DOTA2,1,Supporter,38,Balanced
P143,Participant_143,user143@university.edu,Valorant,4,Attacker,84,Thinker
P144,Participant_144,user144@university.edu,CSGO,8,Coordinator,90,Thinker
P145,Participant_145,user145@university.edu,Chess,6,Defender,55,Balanced
P146,Participant_146,user146@university.edu,Basketball,3,Strategist,50,Balanced
P147,Participant_147,user147@university.edu,FIFA,10,Attacker,87,Thinker
P148,Participant_148,user148@university.edu,DOTA2,5,Supporter,71,Thinker
P149,Participant_149,user149@university.edu,Valorant,7,Defender,68,Balanced
P150,Participant_150,user150@university.edu,CSGO,3,Attacker,93,Leader
P151,Participant_151,user151@university.edu,Chess,4,Supporter,60,Balanced
P152,Participant_152,user152@university.edu,Basketball,2,Coordinator,76,Thinker
P153,Participant_153,user153@university.edu,FIFA,7,Strategist,89,Thinker
P154,Participant_154,user154@university.edu,DOTA2,9,Attacker,97,Leader
P155,Participant_155,user155@university.edu,Valorant,3,Supporter,72,Thinker
P156,Participant_156,user156@university.edu,CSGO,5,Coordinator,53,Balanced
P157,Participant_157,user157@university.edu,Chess,6,Defender,64,Balanced
P158,Participant_158,user158@university.edu,Basketball,8,Supporter,85,Thinker
P159,Participant_159,user159@university.edu,FIFA,2,Coordinator,41,Balanced
P160,Participant_160,user160@university.edu,DOTA2,7,Attacker,92,Leader
P161,Participant_161,user161@university.edu,Valorant,5,Defender,74,Thinker
P162,Participant_162,user162@university.edu,CSGO,6,Supporter,58,Balanced
P163,Participant_163,user163@university.edu,Chess,2,Attacker,47,Balanced
P164,Participant_164,user164@university.edu,Basketball,9,Coordinator,88,Thinker
P165,Participant_165,user165@university.edu,FIFA,4,Strategist,79,Thinker
P166,Participant_166,user166@university.edu,DOTA2,3,Supporter,66,Balanced
P167,Participant_167,user167@university.edu,Valorant,8,Coordinator,94,Leader
P168,Participant_168,user168@university.edu,CSGO,9,Defender,71,Thinker
P169,Participant_169,user169@university.edu,Chess,5,Attacker,52,Balanced
P170,Participant_170,user170@university.edu,Basketball,3,Supporter,49,Balanced
P171,Participant_171,user171@university.edu,FIFA,6,Coordinator,83,Thinker
P172,Participant_172,user172@university.edu,DOTA2,8,Defender,90,Thinker
P173,Participant_173,user173@university.edu,Valorant,4,Strategist,61,Balanced
P174,Participant_174,user174@university.edu,CSGO,1,Attacker,37,Balanced
P175,Participant_175,user175@university.edu,Chess,10,Supporter,77,Thinker
P176,Participant_176,user176@university.edu,Basketball,4,Coordinator,69,Balanced
P177,Participant_177,user177@university.edu,FIFA,3,Defender,55,Balanced
P178,Participant_178,user178@university.edu,DOTA2,6,Strategist,82,Thinker
P179,Participant_179,user179@university.edu,Valorant,9,Supporter,95,Leader
P180,Participant_180,user180@university.edu,CSGO,2,Defender,46,Balanced
P181,Participant_181,user181@university.edu,Chess,3,Coordinator,63,Balanced
P182,Participant_182,user182@university.edu,Basketball,8,Attacker,86,Thinker
P183,Participant_183,user183@university.edu,FIFA,7,Supporter,98,Leader
P184,Participant_184,user184@university.edu,DOTA2,4,Defender,73,Thinker
P185,Participant_185,user185@university.edu,Valorant,5,Coordinator,68,Balanced
P186,Participant_186,user186@university.edu,CSGO,6,Strategist,80,Thinker
P187,Participant_187,user187@university.edu,Chess,1,Supporter,42,Balanced
P188,Participant_188,user188@university.edu,Basketball,9,Defender,89,Thinker
P189,Participant_189,user189@university.edu,FIFA,5,Coordinator,65,Balanced
P190,Participant_190,user190@university.edu,DOTA2,3,Attacker,50,Balanced
P191,Participant_191,user191@university.edu,Valorant,7,Supporter,85,Thinker
P192,Participant_192,user192@university.edu,CSGO,8,Defender,91,Leader
P193,Participant_193,user193@university.edu,Chess,6,Coordinator,60,Balanced
P194,Participant_194,user194@university.edu,Basketball,4,Attacker,57,Balanced
P195,Participant_195,user195@university.edu,FIFA,2,Supporter,48,Balanced
P196,Participant_196,user196@university.edu,DOTA2,9,Defender,84,Thinker
P197,Participant_197,user197@university.edu,Valorant,5,Attacker,76,Thinker
P198,Participant_198,user198@university.edu,CSGO,3,Supporter,62,Balanced
P199,Participant_199,user199@university.edu,Chess,7,Coordinator,93,Leader
P200,Participant_200,user200@university.edu,Basketball,10,Strategist,81,Thinker
